House_Type,Family_Members,Number_of_Rooms,AC_Units,AC_Usage_Hours,Fan_Usage_Hours,Refrigerator_Usage_Hours,Washing_Machine_Usage_Hours,Water_Motor_Usage_Hours,Lighting_Hours,TV_Usage_Hours,Iron_Usage_Hours,Kitchen_Appliance_Hours,Daily_Appliance_Count,Outdoor_Temperature_C,Day_of_Week,Is_Weekend,Season,Is_Holiday,Daily_Electricity_Consumption_kWh,House_Type_enc,Day_of_Week_enc,Season_enc
Independent House,6,3,1,0.2,7.92,24,1.69,2.21,6.68,1.91,0.04,0.26,6,30.3,Thursday,0,Spring,0,12.43,2,4,1
Independent House,2,2,2,9.66,11.98,24,0.68,0.44,8.09,4.56,0.07,1.45,5,40.0,Thursday,0,Summer,0,36.44,2,4,2
Apartment,5,2,0,0.0,11.94,24,0.02,0.2,4.71,0.8,0.28,1.35,7,44.4,Thursday,0,Summer,0,6.7,0,4,2
Bungalow,2,5,3,5.53,7.34,24,0.48,1.52,6.06,4.13,0.03,3.17,5,35.8,Wednesday,0,Summer,0,39.55625,1,6,2
Apartment,7,2,1,6.08,15.07,24,0.57,2.02,9.63,4.65,0.02,3.3,11,35.6,Monday,0,Summer,0,20.54,0,1,2
Bungalow,6,5,1,2.03,9.89,24,0.63,1.95,7.65,2.88,1.28,0.41,12,27.4,Friday,0,Monsoon,1,19.7,1,0,0
Independent House,5,2,1,11.42,11.57,24,1.02,1.3,4.33,8.45,0.43,2.72,7,29.2,Saturday,1,Monsoon,0,30.24,2,2,0
Apartment,9,2,0,0.0,11.49,24,1.24,2.43,2.75,2.89,0.29,2.03,13,30.3,Tuesday,0,Monsoon,0,11.72,0,5,0
Independent House,9,4,2,9.23,11.22,24,0.03,0.76,6.2,4.74,0.05,2.26,7,35.6,Friday,0,Monsoon,0,37.85,2,0,0
Portion/Rented Unit,3,6,2,0.63,6.99,24,1.42,1.53,9.36,7.36,0.08,3.41,8,16.6,Saturday,1,Winter,0,13.31,3,2,3
Bungalow,5,1,1,13.84,11.01,24,1.73,0.92,6.38,3.29,0.74,1.0,9,36.8,Sunday,1,Summer,0,39.55625,1,3,2
Independent House,8,1,1,8.67,12.58,24,0.49,1.59,6.51,4.01,0.17,3.08,5,46.1,Monday,0,Summer,0,25.3,2,1,2
Apartment,8,3,2,2.59,1.83,24,0.31,0.4,5.28,2.32,1.18,1.61,12,16.3,Friday,0,Winter,0,16.87,0,0,3
Apartment,6,2,1,2.05,6.12,24,0.91,0.14,8.27,5.19,0.87,2.71,13,25.4,Tuesday,0,Spring,1,9.75,0,5,1
Portion/Rented Unit,2,4,1,1.3,3.16,24,3.39,0.61,10.61,5.33,0.12,1.45,12,11.9,Tuesday,0,Winter,0,6.98,3,5,3
Apartment,7,3,2,0.71,5.11,24,0.77,0.47,1.96,5.3,0.06,0.68,14,23.9,Sunday,1,Spring,0,6.09,0,3,1
Apartment,6,3,2,8.22,8.58,24,1.03,1.17,8.72,4.93,1.14,0.1,10,32.5,Sunday,1,Monsoon,0,30.46,0,3,0
Independent House,8,4,1,7.01,14.86,24,2.79,1.03,4.81,1.21,0.79,3.28,6,32.8,Tuesday,0,Monsoon,0,27.3,2,5,0
Portion/Rented Unit,7,2,0,0.0,14.08,24,2.98,0.7,8.2,5.12,0.25,2.48,13,29.4,Saturday,1,Monsoon,0,8.67,3,2,0
Independent House,3,1,0,0.0,7.47,24,0.98,1.51,7.41,6.83,1.16,2.13,6,13.2,Wednesday,0,Winter,0,11.12,2,6,3
Portion/Rented Unit,7,1,0,0.0,6.74,24,0.67,1.01,5.68,5.9,0.16,2.4,10,6.7,Sunday,1,Winter,0,8.15,3,3,3
Independent House,6,2,0,0.0,4.75,24,1.57,0.85,3.4,2.7,0.17,0.0,9,25.4,Saturday,1,Spring,0,9.47,2,2,1
Apartment,7,1,1,9.44,11.27,24,0.14,0.78,4.15,5.06,0.17,0.79,8,40.0,Monday,0,Summer,1,19.03,0,1,2
Portion/Rented Unit,6,5,2,1.88,12.58,24,0.52,1.28,3.84,7.61,0.77,3.13,11,25.8,Saturday,1,Spring,1,14.38,3,2,1
Portion/Rented Unit,9,2,2,6.42,11.0,24,3.76,1.58,7.53,2.64,0.59,2.37,8,43.7,Sunday,1,Summer,0,24.3,3,3,2
Portion/Rented Unit,3,3,1,5.27,14.02,24,0.2,0.62,8.82,3.76,0.02,2.02,12,30.9,Wednesday,0,Monsoon,0,12.83,3,6,0
Apartment,7,1,0,0.0,13.11,24,0.05,2.12,3.6,1.45,1.35,2.56,5,32.6,Friday,0,Monsoon,0,14.69,0,0,0
Bungalow,6,2,1,7.08,12.68,24,0.17,1.5,6.07,2.06,0.44,3.36,12,29.1,Wednesday,0,Monsoon,0,33.78,1,6,0
Apartment,6,3,1,0.28,7.03,24,1.19,1.0,6.53,5.78,0.1,1.4,7,25.3,Saturday,1,Spring,0,9.44,0,2,1
Independent House,8,4,1,0.94,13.7,24,0.79,1.01,3.79,7.31,0.33,0.0,14,27.7,Saturday,1,Spring,0,9.49,2,2,1
Independent House,7,3,3,7.07,15.87,24,0.55,2.76,6.82,3.83,0.28,1.63,6,32.5,Friday,0,Monsoon,0,39.55625,2,0,0
Bungalow,7,6,2,2.31,15.27,24,0.74,1.44,9.47,5.19,0.12,1.12,5,35.5,Wednesday,0,Monsoon,0,24.29,1,6,0
Apartment,8,3,2,0.0,5.81,24,0.61,0.75,9.18,5.44,0.03,1.35,7,7.5,Wednesday,0,Winter,0,5.71,0,6,3
Independent House,2,1,0,0.0,10.05,24,1.17,1.78,6.65,3.04,0.03,3.67,9,42.3,Tuesday,0,Summer,0,11.34,2,5,2
Bungalow,9,2,1,0.0,9.65,24,0.17,0.36,6.44,1.15,0.15,2.13,13,17.4,Thursday,0,Spring,0,13.95,1,4,1
Independent House,2,1,0,0.0,13.15,24,1.02,0.39,8.01,8.03,0.02,2.57,12,34.8,Saturday,1,Monsoon,0,10.04,2,2,0
Independent House,9,5,3,0.41,10.33,24,1.1,1.42,6.53,3.81,0.04,3.74,11,11.6,Saturday,1,Winter,0,16.1,2,2,3
Independent House,8,1,0,0.0,13.34,24,0.66,1.73,5.84,5.47,0.96,0.0,13,39.4,Saturday,1,Summer,0,12.01,2,2,2
Bungalow,2,2,1,3.18,7.17,24,0.49,0.3,6.49,3.59,0.25,2.55,7,36.7,Thursday,0,Summer,0,18.14,1,4,2
Portion/Rented Unit,8,2,0,0.0,15.0,24,2.0,1.24,6.24,9.56,0.33,2.8,5,36.6,Thursday,0,Summer,0,11.09,3,4,2
Bungalow,2,2,1,0.92,4.61,24,2.37,0.88,7.62,2.87,1.16,0.0,6,22.7,Tuesday,0,Spring,0,14.6,1,5,1
Apartment,9,4,3,2.23,8.88,24,0.09,0.13,8.31,3.69,0.26,0.0,14,25.8,Tuesday,0,Spring,0,15.5,0,5,1
Apartment,5,2,1,0.28,12.69,24,1.02,0.99,5.37,4.73,0.11,0.27,10,28.8,Sunday,1,Spring,0,9.21,0,3,1
Portion/Rented Unit,2,4,1,5.34,14.94,24,0.88,1.24,7.2,4.71,0.33,1.32,6,36.0,Sunday,1,Summer,0,9.14,3,3,2
Portion/Rented Unit,4,3,0,0.0,13.16,24,0.14,0.05,6.88,5.68,0.08,0.68,9,28.7,Monday,0,Monsoon,0,6.77,3,1,0
Apartment,4,4,2,4.73,10.88,24,0.46,1.89,7.49,0.8,0.38,3.05,6,41.2,Monday,0,Summer,0,22.2,0,1,2
Portion/Rented Unit,4,5,2,0.0,14.44,24,0.39,0.0,6.19,6.34,0.41,2.14,11,25.1,Monday,0,Spring,1,8.97,3,1,1
Portion/Rented Unit,2,3,1,9.24,20.03,24,0.67,0.8,7.18,5.09,0.06,2.47,7,38.2,Thursday,0,Summer,0,18.0,3,4,2
Apartment,3,3,2,1.18,8.41,24,1.21,0.87,6.94,4.29,0.01,2.66,11,21.9,Monday,0,Spring,0,13.53,0,1,1
Portion/Rented Unit,2,3,3,5.83,10.11,24,0.51,1.18,6.27,7.23,0.47,1.73,12,33.1,Monday,0,Monsoon,0,25.43,3,1,0
Portion/Rented Unit,7,4,1,0.0,8.78,24,1.14,1.87,2.75,8.06,0.7,0.0,7,26.3,Sunday,1,Monsoon,0,8.38,3,3,0
Apartment,9,1,0,0.0,12.95,24,0.93,1.08,4.07,2.29,0.0,1.76,6,34.5,Friday,0,Summer,0,9.9,0,0,2
Bungalow,3,5,3,3.21,10.41,24,0.03,2.07,4.72,5.02,0.3,1.03,8,28.7,Tuesday,0,Monsoon,0,31.34,1,5,0
Bungalow,4,5,2,8.61,14.86,24,0.25,0.46,5.48,2.46,0.35,1.44,5,29.9,Monday,0,Summer,0,39.55625,1,1,2
Independent House,7,2,1,8.06,14.94,24,0.57,0.6,9.37,3.32,0.21,0.41,9,38.4,Wednesday,0,Summer,0,22.73,2,6,2
Independent House,7,4,2,5.63,5.32,24,0.14,1.27,6.01,3.61,0.24,2.02,11,28.7,Thursday,0,Summer,0,29.92,2,4,2
Portion/Rented Unit,5,1,0,0.0,13.14,24,0.02,0.95,8.12,5.88,0.7,3.2,12,40.5,Tuesday,0,Summer,1,7.7,3,5,2
Portion/Rented Unit,7,4,3,0.0,8.04,24,0.6,1.46,5.09,2.65,0.13,2.98,10,19.0,Monday,0,Spring,0,7.92,3,1,1
Portion/Rented Unit,3,2,2,5.77,15.62,24,0.95,1.44,10.12,6.64,0.1,1.7,6,42.8,Thursday,0,Summer,1,24.87,3,4,2
Apartment,7,3,2,1.2,6.45,24,0.34,1.62,8.88,2.06,0.37,2.89,5,27.1,Wednesday,0,Spring,0,11.71,0,6,1
Apartment,2,5,0,0.0,10.48,24,3.28,1.23,2.69,4.58,0.16,2.61,7,35.1,Friday,0,Summer,1,9.75,0,0,2
Apartment,6,4,0,0.0,15.34,24,1.57,0.74,8.34,2.68,0.04,2.46,5,36.2,Tuesday,0,Summer,0,11.66,0,5,2
Independent House,4,7,2,0.0,9.58,24,2.28,1.72,9.55,1.04,0.37,2.14,8,26.9,Thursday,0,Monsoon,0,15.06,2,4,0
Bungalow,4,4,2,0.0,12.87,24,1.39,1.16,6.18,4.22,0.31,3.0,12,27.0,Thursday,0,Monsoon,0,15.29,1,4,0
Apartment,2,6,0,0.0,8.93,24,1.1,1.13,4.89,4.51,0.15,0.89,14,30.9,Saturday,1,Monsoon,1,4.0,0,2,0
Independent House,5,3,1,8.43,10.41,24,1.12,1.48,5.49,4.55,0.24,0.16,10,40.1,Saturday,1,Summer,0,24.38,2,2,2
Independent House,9,8,3,0.93,10.06,24,0.09,1.23,6.81,4.76,0.14,3.56,9,14.3,Thursday,0,Winter,0,19.56,2,4,3
Independent House,6,5,2,1.03,6.36,24,1.15,2.09,4.08,4.16,0.48,1.72,7,23.6,Friday,0,Spring,0,11.19,2,0,1
Portion/Rented Unit,9,4,0,0.0,6.72,24,0.57,1.49,8.19,3.47,0.12,2.67,12,9.8,Thursday,0,Winter,0,9.35,3,4,3
Independent House,5,3,0,0.0,18.2,24,1.49,1.64,5.62,3.2,0.35,2.67,13,41.1,Friday,0,Summer,0,11.3,2,0,2
Portion/Rented Unit,9,5,2,10.27,6.71,24,2.83,1.36,6.96,6.01,0.46,4.01,11,34.3,Saturday,1,Monsoon,0,35.61,3,2,0
Apartment,7,6,2,0.0,10.3,24,0.55,0.98,5.83,3.84,0.2,2.44,6,23.5,Monday,0,Spring,1,11.66,0,1,1
Portion/Rented Unit,3,3,0,0.0,4.08,24,2.72,0.69,8.01,2.44,0.58,3.15,13,7.4,Sunday,1,Winter,0,6.98,3,3,3
Portion/Rented Unit,9,1,0,0.0,13.8,24,0.88,0.67,8.4,6.07,0.49,1.2,7,25.9,Sunday,1,Monsoon,0,9.31,3,3,0
Portion/Rented Unit,5,4,0,0.0,17.19,24,0.43,1.65,5.3,1.42,0.19,2.99,9,43.7,Tuesday,0,Summer,0,8.84,3,5,2
Independent House,2,5,0,0.0,12.22,24,1.12,0.41,6.29,5.24,0.09,1.69,5,27.0,Monday,0,Spring,0,9.92,2,1,1
Independent House,5,3,1,4.68,14.74,24,0.42,1.37,5.41,2.17,0.04,1.84,7,38.2,Friday,0,Summer,0,19.12,2,0,2
Independent House,2,4,0,0.0,11.3,24,0.94,2.11,7.2,5.64,0.23,1.79,11,30.3,Sunday,1,Monsoon,0,11.21,2,3,0
Independent House,8,2,2,4.1,8.37,24,0.05,2.2,4.0,4.71,0.12,0.26,9,26.3,Friday,0,Monsoon,1,23.35,2,0,0
Independent House,2,5,3,3.5,16.2,24,0.11,1.94,6.76,2.06,0.07,1.69,14,39.9,Monday,0,Summer,0,26.86,2,1,2
Independent House,5,2,1,1.55,10.47,24,1.82,2.14,10.18,5.38,0.13,2.21,7,5.7,Saturday,1,Winter,0,15.47,2,2,3
Independent House,3,3,2,7.31,13.22,24,3.47,0.46,4.5,4.9,0.06,3.46,13,37.4,Sunday,1,Summer,0,34.73,2,3,2
Independent House,8,3,0,0.0,9.6,24,0.9,1.11,11.72,5.94,0.01,2.19,5,16.6,Thursday,0,Winter,0,16.05,2,4,3
Apartment,8,5,3,0.71,11.5,24,0.66,2.05,3.45,6.48,0.27,2.49,9,25.9,Sunday,1,Spring,0,13.83,0,3,1
Portion/Rented Unit,2,3,2,7.96,6.25,24,1.29,0.17,7.25,7.15,0.19,2.99,7,38.1,Monday,0,Summer,1,23.46,3,1,2
Bungalow,6,1,0,0.0,3.52,24,0.72,2.14,9.04,3.73,0.31,1.0,13,12.5,Sunday,1,Winter,0,15.79,1,3,3
Bungalow,3,3,3,1.72,13.41,24,0.5,2.67,3.65,3.35,0.97,0.84,9,26.9,Saturday,1,Spring,0,25.15,1,2,1
Independent House,7,2,0,0.0,11.1,24,2.17,0.06,8.43,4.0,0.47,1.18,10,18.9,Wednesday,0,Winter,0,8.31,2,6,3
Apartment,6,1,1,0.66,11.31,24,0.98,0.83,7.41,5.23,0.19,2.35,13,8.7,Wednesday,0,Winter,0,11.27,0,6,3
Independent House,8,3,3,9.64,17.76,24,0.56,1.44,1.49,5.31,0.62,2.37,9,28.7,Sunday,1,Monsoon,1,39.55625,2,3,0
Independent House,8,4,2,1.76,7.13,24,0.14,2.4,7.55,3.77,0.45,2.93,5,25.8,Monday,0,Spring,0,17.68,2,1,1
Independent House,6,1,0,0.0,12.8,24,0.68,1.81,3.5,2.63,0.6,0.0,9,10.8,Thursday,0,Winter,0,12.77,2,4,3
Bungalow,7,5,1,1.27,9.83,24,0.83,1.26,6.26,5.35,0.28,1.2,6,8.8,Sunday,1,Winter,0,16.86,1,3,3
Independent House,9,4,2,7.24,4.21,24,0.84,0.38,5.71,1.1,0.1,2.31,5,39.8,Monday,0,Summer,1,30.97,2,1,2
Portion/Rented Unit,7,3,3,0.72,2.74,24,0.64,0.0,5.79,1.39,0.3,1.4,13,19.5,Sunday,1,Spring,0,11.21,3,3,1
Independent House,2,5,0,0.0,12.09,24,1.41,0.81,8.71,4.02,0.09,1.35,8,38.0,Sunday,1,Summer,0,10.65,2,3,2
Apartment,3,1,0,0.0,11.76,24,0.34,0.97,6.97,6.0,0.17,1.34,7,14.3,Wednesday,0,Winter,0,7.97,0,6,3
Apartment,5,4,2,1.61,9.67,24,0.62,1.37,8.09,6.34,0.16,2.04,5,27.1,Tuesday,0,Monsoon,0,13.43,0,5,0
Bungalow,5,4,2,1.56,5.45,24,1.16,0.53,7.25,5.43,0.59,2.41,13,10.9,Wednesday,0,Winter,0,22.58,1,6,3
Apartment,2,4,2,12.19,15.1,24,2.34,1.19,2.67,4.92,0.63,2.49,8,41.4,Sunday,1,Summer,0,39.32,0,3,2
Independent House,6,4,0,0.0,12.48,24,1.12,1.03,6.61,5.05,1.5,2.53,6,29.4,Saturday,1,Monsoon,0,10.05,2,2,0
Apartment,4,3,1,14.07,16.33,24,0.21,1.27,5.58,4.97,0.04,3.25,13,40.0,Thursday,0,Summer,0,28.19,0,4,2
Independent House,7,2,1,5.76,14.11,24,0.97,1.31,4.63,3.27,0.93,3.52,10,35.4,Saturday,1,Monsoon,0,24.39,2,2,0
Apartment,3,3,2,1.14,9.25,24,0.32,1.36,6.35,2.96,0.26,3.33,9,7.9,Monday,0,Winter,0,7.88,0,1,3
Apartment,2,3,1,5.21,7.95,24,0.58,0.98,6.5,2.21,0.25,2.06,13,47.4,Tuesday,0,Summer,0,12.05,0,5,2
Independent House,9,2,2,0.76,5.91,24,0.64,2.05,6.16,5.74,0.83,3.07,12,13.5,Wednesday,0,Winter,0,17.41,2,6,3
Independent House,8,2,1,1.73,10.92,24,0.84,1.01,7.5,8.16,0.31,2.56,14,4.9,Saturday,1,Winter,0,17.08,2,2,3
Bungalow,5,6,0,0.0,13.85,24,0.27,2.02,7.82,2.39,0.05,2.89,10,10.8,Friday,0,Winter,0,15.53,1,0,3
Portion/Rented Unit,3,1,0,0.0,12.33,24,1.46,1.86,6.16,2.51,0.01,1.46,8,22.8,Friday,0,Spring,0,4.92,3,0,1
Apartment,9,1,1,2.56,12.77,24,1.64,0.86,8.36,6.25,0.56,0.7,5,18.1,Sunday,1,Winter,0,11.07,0,3,3
Apartment,3,2,2,0.0,8.77,24,1.64,0.35,9.78,5.66,0.02,3.42,11,12.5,Saturday,1,Winter,1,12.89,0,2,3
Apartment,3,4,3,1.54,8.36,24,0.73,1.48,12.19,2.43,0.11,3.76,8,19.4,Sunday,1,Winter,1,17.94,0,3,3
Bungalow,8,1,1,2.65,11.6,24,0.88,1.57,6.69,3.48,0.29,0.47,10,39.6,Sunday,1,Summer,0,20.18,1,3,2
Portion/Rented Unit,9,5,2,2.65,11.8,24,0.13,1.44,8.59,3.08,0.11,2.02,9,9.3,Tuesday,0,Winter,0,15.41,3,5,3
Independent House,7,3,1,1.64,17.56,24,2.02,0.88,4.54,5.56,0.16,2.73,9,27.4,Thursday,0,Spring,0,17.37,2,4,1
Independent House,5,2,0,0.0,13.29,24,0.32,0.72,3.6,3.66,0.34,1.28,12,37.8,Thursday,0,Summer,0,10.36,2,4,2
Portion/Rented Unit,8,5,3,1.14,12.43,24,0.38,0.46,9.32,7.3,0.08,1.79,7,43.2,Monday,0,Summer,1,38.16,3,1,2
Bungalow,3,6,3,5.37,6.59,24,0.5,1.16,6.86,2.39,0.12,2.68,7,35.2,Monday,0,Monsoon,0,39.55625,1,1,0
Apartment,4,2,1,0.77,6.9,24,1.46,1.55,6.11,2.79,1.04,0.16,7,31.1,Sunday,1,Spring,1,11.64,0,3,1
Apartment,7,5,3,4.57,10.09,24,0.21,1.71,4.33,4.64,0.89,3.56,7,43.1,Friday,0,Summer,0,29.65,0,0,2
Independent House,6,5,2,2.73,14.31,24,0.44,0.64,2.62,6.2,1.78,3.21,14,31.1,Monday,0,Monsoon,1,22.77,2,1,0
Apartment,7,4,2,5.72,7.27,24,1.11,1.18,3.28,4.76,0.17,1.46,12,39.7,Sunday,1,Summer,0,24.08,0,3,2
Apartment,4,1,1,6.83,6.08,24,1.78,1.0,7.0,2.79,0.03,2.22,7,29.1,Saturday,1,Summer,0,17.09,0,2,2
Independent House,2,5,0,0.0,3.75,24,0.0,0.95,6.57,5.04,0.04,2.15,5,11.5,Monday,0,Winter,0,8.75,2,1,3
Independent House,9,3,0,0.0,15.01,24,2.32,2.04,5.81,4.73,0.27,3.8,10,36.1,Friday,0,Monsoon,0,15.35,2,0,0
Apartment,9,3,1,6.13,10.88,24,1.16,0.86,7.44,4.21,0.36,1.18,11,45.0,Sunday,1,Summer,0,18.96,0,3,2
Portion/Rented Unit,7,4,2,0.21,5.52,24,0.07,0.32,4.38,7.72,0.71,2.13,7,11.4,Tuesday,0,Winter,0,8.09,3,5,3
Portion/Rented Unit,8,2,0,0.0,11.78,24,1.17,1.2,4.69,3.48,0.44,2.06,5,27.9,Sunday,1,Spring,0,10.88,3,3,1
Bungalow,7,4,3,10.2,14.24,24,4.0,0.24,7.75,6.25,0.26,3.1,11,39.2,Saturday,1,Summer,0,39.55625,1,2,2
Apartment,9,5,0,0.0,4.26,24,1.39,0.15,9.38,5.54,0.01,4.67,9,6.7,Saturday,1,Winter,0,12.97,0,2,3
Independent House,3,6,2,1.02,9.32,24,0.18,1.52,2.58,3.5,0.4,2.89,10,27.0,Wednesday,0,Monsoon,0,14.74,2,6,0
Independent House,6,4,1,1.56,13.32,24,0.69,0.68,7.63,0.67,0.58,3.42,7,32.3,Friday,0,Monsoon,0,14.75,2,0,0
Independent House,7,6,1,0.0,11.71,24,0.1,1.19,6.16,3.63,0.05,4.34,5,24.7,Tuesday,0,Spring,0,12.27,2,5,1
Apartment,8,6,2,1.36,6.71,24,0.32,1.78,8.99,3.47,0.2,2.28,6,14.8,Monday,0,Winter,0,12.88,0,1,3
Bungalow,8,5,0,0.0,14.68,24,0.67,1.35,7.69,4.8,0.02,0.0,11,27.6,Sunday,1,Spring,0,16.75,1,3,1
Bungalow,6,2,2,0.0,11.0,24,1.05,1.32,6.89,5.15,0.21,3.02,12,12.8,Monday,0,Winter,0,18.6,1,1,3
Portion/Rented Unit,6,4,1,7.67,8.96,24,1.7,1.37,8.28,2.52,0.19,1.78,12,41.7,Monday,0,Summer,0,15.92,3,1,2
Independent House,5,4,1,3.15,11.43,24,1.26,1.4,2.9,7.01,0.21,2.45,12,22.6,Monday,0,Spring,0,17.32,2,1,1
Apartment,8,3,2,11.15,14.49,24,0.51,2.75,8.5,5.39,0.07,1.7,7,40.4,Sunday,1,Summer,0,39.55625,0,3,2
Portion/Rented Unit,5,5,2,8.97,15.85,24,0.83,1.61,3.94,0.58,0.17,3.23,7,34.6,Wednesday,0,Summer,0,28.4,3,6,2
Apartment,7,3,1,8.63,13.58,24,1.06,1.71,5.38,2.04,0.12,1.52,7,35.2,Friday,0,Summer,0,19.32,0,0,2
Portion/Rented Unit,3,4,2,0.0,8.36,24,0.26,1.42,8.62,6.39,0.42,0.74,12,13.5,Monday,0,Winter,0,6.34,3,1,3
Portion/Rented Unit,7,4,2,9.29,12.03,24,0.04,1.31,5.92,6.5,0.51,1.11,9,45.3,Thursday,0,Summer,0,26.76,3,4,2
Portion/Rented Unit,9,5,1,8.42,12.34,24,0.79,1.38,4.63,3.08,0.03,1.02,11,30.0,Wednesday,0,Summer,0,18.11,3,6,2
Portion/Rented Unit,5,4,1,3.57,11.5,24,0.48,0.0,5.65,2.48,0.07,0.66,11,24.9,Friday,0,Spring,0,9.51,3,0,1
Apartment,3,3,1,1.55,6.85,24,0.27,1.45,8.15,3.76,0.09,1.56,9,27.9,Friday,0,Monsoon,0,8.09,0,0,0
Independent House,9,3,0,0.0,6.94,24,1.87,1.42,9.56,1.72,0.04,2.63,5,12.9,Monday,0,Winter,0,12.53,2,1,3
Bungalow,4,2,1,3.95,8.14,24,0.07,2.38,5.61,1.55,0.14,2.04,5,35.8,Monday,0,Summer,0,23.36,1,1,2
Bungalow,7,2,2,6.37,15.48,24,0.54,0.73,4.98,0.0,0.22,0.6,7,36.2,Thursday,0,Summer,1,37.07,1,4,2
Apartment,4,5,1,3.43,13.28,24,0.03,1.46,7.51,5.75,0.19,1.81,6,5.4,Monday,0,Winter,1,15.55,0,1,3
Portion/Rented Unit,3,5,1,4.28,13.45,24,0.35,1.92,7.68,6.91,0.4,1.92,14,36.8,Tuesday,0,Summer,1,14.74,3,5,2
Apartment,3,3,0,0.0,10.7,24,0.66,0.88,4.75,5.08,0.04,2.56,14,22.9,Thursday,0,Monsoon,0,9.93,0,4,0
Portion/Rented Unit,6,4,1,0.4,6.34,24,0.29,1.38,5.6,4.56,0.12,0.05,9,14.0,Tuesday,0,Winter,0,8.28,3,5,3
Independent House,3,4,2,8.59,7.79,24,0.92,0.92,6.39,7.55,0.63,1.53,5,28.1,Saturday,1,Monsoon,1,35.37,2,2,0
Apartment,3,2,0,0.0,2.14,24,0.65,2.33,7.93,2.99,0.8,1.94,5,11.6,Sunday,1,Winter,0,5.93,0,3,3
Independent House,8,5,3,3.1,8.21,24,0.39,0.26,8.66,2.21,0.52,3.44,11,25.2,Thursday,0,Monsoon,0,27.04,2,4,0
Independent House,6,3,1,2.33,5.58,24,0.16,1.37,6.7,6.15,0.06,1.84,6,16.3,Tuesday,0,Winter,0,13.96,2,5,3
Independent House,3,4,2,9.24,11.88,24,1.16,1.74,4.86,4.86,0.17,1.55,6,28.8,Monday,0,Monsoon,0,37.26,2,1,0
Portion/Rented Unit,4,5,3,0.49,8.1,24,1.09,1.34,6.12,2.44,0.25,1.66,11,22.1,Thursday,0,Spring,0,9.41,3,4,1
Apartment,5,2,1,2.82,9.78,24,0.72,0.61,7.55,6.6,0.06,1.03,11,8.1,Sunday,1,Winter,0,12.92,0,3,3
Apartment,2,3,3,3.17,5.21,24,0.23,0.73,8.55,5.59,0.39,1.2,12,14.5,Tuesday,0,Winter,0,20.19,0,5,3
Portion/Rented Unit,4,1,0,0.0,10.47,24,0.29,1.26,1.46,7.94,1.1,1.4,8,23.6,Wednesday,0,Spring,1,9.13,3,6,1
Apartment,3,5,2,4.56,11.86,24,0.86,1.35,7.35,2.72,0.06,3.24,9,40.5,Monday,0,Summer,0,25.99,0,1,2
Independent House,9,2,0,0.0,5.32,24,1.02,0.05,7.43,6.22,0.59,2.54,13,9.4,Sunday,1,Winter,0,12.49,2,3,3
Bungalow,2,1,0,0.0,8.2,24,0.73,0.08,4.93,4.53,0.14,0.36,5,26.1,Saturday,1,Spring,0,11.6,1,2,1
Portion/Rented Unit,6,3,3,1.78,4.81,24,0.55,1.3,5.87,3.77,0.12,2.61,14,12.4,Friday,0,Winter,0,12.55,3,0,3
Apartment,4,3,3,0.37,9.12,24,0.1,0.97,3.03,2.61,0.4,2.41,8,22.1,Wednesday,0,Spring,0,11.21,0,6,1
Independent House,3,2,2,10.54,9.12,24,0.69,0.61,5.31,7.02,0.35,2.45,6,33.1,Tuesday,0,Summer,1,39.55625,2,5,2
Apartment,9,1,1,0.63,12.44,24,0.24,0.0,6.14,3.72,0.09,2.08,7,19.7,Friday,0,Winter,0,9.22,0,0,3
Independent House,7,7,0,0.0,6.87,24,0.83,1.43,7.11,3.01,0.22,1.1,5,24.0,Thursday,0,Spring,0,10.49,2,4,1
Portion/Rented Unit,4,4,3,1.2,8.55,24,0.23,0.23,8.59,6.01,0.0,1.42,13,11.8,Friday,0,Winter,0,12.38,3,0,3
Portion/Rented Unit,6,4,2,7.81,10.43,24,0.54,0.92,3.22,2.06,0.16,2.19,9,34.8,Wednesday,0,Summer,0,23.82,3,6,2
Portion/Rented Unit,6,4,1,6.62,12.26,24,0.5,1.44,6.38,4.09,0.3,2.75,12,31.7,Wednesday,0,Monsoon,0,14.84,3,6,0
Portion/Rented Unit,3,2,2,1.27,12.52,24,0.78,1.58,2.75,4.24,0.04,1.93,12,20.7,Monday,0,Spring,0,10.69,3,1,1
Independent House,3,3,1,6.07,10.48,24,0.16,0.69,7.26,4.71,0.31,0.74,14,42.3,Friday,0,Summer,0,14.47,2,0,2
Apartment,6,4,1,8.27,6.99,24,1.79,2.79,5.63,3.29,0.13,2.5,10,33.0,Monday,0,Summer,0,21.23,0,1,2
Portion/Rented Unit,2,2,2,7.31,14.83,24,1.17,2.14,3.83,4.63,0.04,0.0,11,38.7,Friday,0,Summer,1,22.66,3,0,2
Apartment,4,6,3,0.71,8.3,24,0.72,1.26,11.1,3.02,0.0,0.53,9,9.8,Sunday,1,Winter,0,10.85,0,3,3
Apartment,6,7,1,3.78,2.22,24,0.56,0.87,9.41,6.22,0.1,3.23,13,13.3,Tuesday,0,Winter,0,15.89,0,5,3
Apartment,9,2,2,0.83,11.26,24,0.67,0.36,5.8,3.04,0.31,2.98,10,27.0,Thursday,0,Spring,0,15.0,0,4,1
Apartment,6,6,2,9.15,11.71,24,0.0,0.97,3.72,1.37,0.14,1.42,7,29.5,Monday,0,Monsoon,0,33.59,0,1,0
